"ST","AGEP","race","hispanic","female","logwage","logearn","field","mfield"
"01",31,3,0,1,7.13089883029635,10.8197782844103,62,6
"01",34,1,0,0,7.71423114484909,11.6262541502772,62,6
"01",31,1,0,0,6.85646198459459,10.5453414387085,57,10
"01",28,1,0,0,7.20785987143248,10.8967393255464,41,10
"01",31,1,0,0,7.53636393840451,11.2252433925184,21,2
"01",32,1,0,0,6.95654544315157,10.6454248972655,64,8
"01",40,1,0,0,7.60090245954208,11.5129254649702,62,6
"01",36,1,0,0,7.00306545878646,10.6919449129004,11,7
"01",36,1,0,1,7.05233650779325,10.8589989975636,24,4
"01",36,1,0,1,6.80239476332431,10.4912742174382,23,3
"01",39,2,0,1,6.90775527898214,10.5966347330961,62,6
"01",32,1,0,0,6.90775527898214,10.8197782844103,23,3
"01",39,1,0,0,6.73340189183736,10.6454248972655,52,5
"01",39,2,0,0,7.71641534666393,11.6082356447746,62,6
"01",39,1,0,1,7.3132203870903,11.2252433925184,62,6
"01",28,1,0,1,6.39692965521615,10.0858091093301,61,9
"01",40,3,0,1,6.88499829185952,10.5738777459735,26,8
"01",33,2,0,0,7.08210866612691,10.8197782844103,37,2
"01",39,2,0,0,6.71670004221943,10.5453414387085,36,7
"01",30,1,0,0,6.36875877824945,10.4631033404715,60,8
"01",33,1,0,0,7.3132203870903,11.2252433925184,24,4
"01",36,4,0,1,6.83713771176818,10.6213273456864,61,9
"01",38,1,0,0,7.46737106691756,11.1562505210315,13,7
"01",38,1,0,1,7.6685611080159,11.580584113444,19,1
"01",37,1,1,0,7.60090245954208,11.289781913656,19,1
"01",37,1,0,1,7.02553831463852,10.7144177687525,19,1
"01",35,1,0,1,7.90100705199242,11.5898865061064,24,4
"01",33,1,0,0,7.72973533138505,11.418614785499,62,6
"01",26,1,0,1,6.85646198459459,10.5453414387085,61,9
"01",40,4,0,1,6.80239476332431,10.4912742174382,62,6
"01",32,1,0,1,6.65286302935335,10.3417424834673,53,10
"01",30,1,0,1,6.72906349023876,10.7363966754712,60,8
"01",38,1,0,0,7.49554194388426,11.1844213979982,24,4
"01",28,1,0,1,7.05233650779325,10.8589989975636,13,7
"01",37,1,0,1,7.49554194388426,11.1844213979982,61,9
"01",31,2,0,0,6.5510803350434,10.2399597891573,62,6
"01",30,1,0,0,6.88243747099785,10.5713169251118,23,3
"01",35,2,0,0,7.68478394352278,11.3736633976367,62,6
"01",32,2,0,1,6.21460809842219,9.90348755253613,36,7
"01",40,1,0,0,8.22282213081366,11.9117015849276,61,9
"01",40,1,0,1,6.62007320653036,10.3089526606443,61,9
"01",28,1,0,1,6.80239476332431,10.7144177687525,23,3
"01",35,1,0,1,6.90775527898214,10.7144177687525,53,10
"01",31,1,0,0,6.50229017087397,10.3089526606443,62,6
"01",27,1,0,1,6.43329729938702,10.2399597891573,23,3
"01",26,1,0,1,6.4377516497364,10.1266311038503,55,5
"01",35,1,0,1,6.84321675784457,10.7144177687525,62,6
"01",37,1,0,1,7.09007683577609,11.0020998412042,62,6
"01",35,1,0,1,6.68461172766793,10.4912742174382,23,3
"01",32,1,0,0,7.13089883029635,10.8197782844103,62,6
"01",32,1,0,1,5.29831736654804,8.98719682066197,29,10
"01",31,1,0,0,7.3132203870903,11.0020998412042,55,5
"01",34,1,0,1,7.18916773842032,10.8780471925343,61,9
"01",34,1,0,1,6.85646198459459,10.5453414387085,23,3
"01",40,1,0,0,7.3132203870903,11.0020998412042,62,6
"01",31,2,0,1,4.97673374242057,8.66561319653451,36,7
"01",37,1,0,1,6.97674815046909,11.2252433925184,61,9
"01",28,2,1,0,6.61673430526484,10.3056137593788,64,8
"01",30,1,0,1,6.63582156349849,10.3734911817819,61,9
"01",36,1,0,0,7.13089883029635,10.8197782844103,37,2
"01",30,1,0,1,7.13089883029635,10.8197782844103,26,8
"01",31,1,0,0,7.19543735143392,11.289781913656,60,8
"01",33,1,0,1,7.02553831463852,10.7144177687525,61,9
"01",29,1,0,1,6.76465443534146,10.3481733737976,61,9
"01",39,1,0,1,7.0748093636453,11.0821425488778,62,6
"01",37,1,0,1,7.16661691289843,10.9508065468167,62,6
"01",30,1,0,1,7.09007683577609,10.77895628989,19,1
"01",30,1,0,0,7.09007683577609,11.0020998412042,24,4
"01",27,1,1,1,6.68461172766793,10.3734911817819,19,1
"01",31,1,0,1,6.90775527898214,10.5966347330961,53,10
"01",39,1,0,0,8.58298093195424,12.4950039373824,56,10
"01",34,3,0,0,6.39692965521615,10.0858091093301,61,9
"01",32,4,1,1,6.36875877824945,9.95227771670556,62,6
"01",28,1,0,0,6.95654544315157,10.6454248972655,11,7
"01",35,1,0,0,6.21460809842219,10.3089526606443,53,10
"01",36,1,0,1,6.84054652928869,10.5294259834026,52,5
"01",38,1,0,0,7.15070145759253,10.8395809117065,13,7
"01",35,1,0,0,6.88243747099785,10.5713169251118,24,4
"01",32,1,0,0,6.90775527898214,10.8197782844103,56,10
"01",26,2,0,1,6.26339826259162,9.95227771670556,52,5
"01",34,1,0,1,7.22620901010067,10.9150884642146,61,9
"01",30,1,0,1,6.68461172766793,10.3734911817819,21,2
"01",40,1,0,0,7.19543735143392,11.0020998412042,13,7
"01",28,4,1,0,5.78382518232974,9.47270463644367,14,7
"01",40,1,0,0,7.75147531802146,11.4403547721354,19,1
"01",30,1,0,0,6.14561522693524,10.2399597891573,19,1
"01",38,1,0,0,7.09007683577609,11.0020998412042,62,6
"01",26,1,0,0,6.5510803350434,10.2399597891573,23,3
"01",39,2,0,0,7.30578540860278,11.1124478983731,62,6
"01",35,2,0,1,6.4377516497364,10.1266311038503,62,6
"01",34,2,0,1,7.3132203870903,11.0020998412042,21,2
"01",29,1,0,0,7.09007683577609,11.0020998412042,36,7
"01",37,2,0,1,6.95654544315157,10.6454248972655,62,6
"01",32,2,0,1,6.72543372218818,10.4631033404715,19,1
"01",29,1,0,0,7.13089883029635,11.5129254649702,25,10
"01",40,1,0,0,7.27239839257005,11.1844213979982,62,6
"01",40,1,0,0,7.21791020728598,11.0020998412042,23,3
"01",31,1,0,1,7.02553831463852,10.7144177687525,19,1
"01",35,1,0,0,7.54374404570213,11.3504065354725,24,4
"01",32,1,0,1,7.60090245954208,11.289781913656,62,6
"01",32,1,0,0,7.4831194238857,11.289781913656,36,7
"01",27,1,0,1,6.84054652928869,10.5294259834026,50,7
"01",37,1,0,1,7.18916773842032,10.8780471925343,61,9
"01",28,1,1,0,6.68461172766793,10.5966347330961,55,5
