ST,PWGTP,AGEP,WAGP,WKHP,YOEP,FOD1P,NATIVITY,WAOB,weeks,race,hispanic,ftfy,fulltime,female,baby
01,89,40,52000,40,,5200,1,1,1,1,0,1,1,1,0
01,102,35,50000,40,,6200,1,1,1,2,0,1,1,1,0
01,166,38,50000,40,,6203,1,1,1,1,0,1,1,1,0
01,12,40,50000,50,,2306,1,1,1,1,0,1,1,0,
01,86,38,150000,60,,2306,1,1,1,2,0,1,1,0,
01,68,38,52000,40,,5301,1,1,1,2,0,1,1,1,0
01,66,34,42000,49,,6402,1,1,3,1,0,0,1,1,0
01,78,33,60000,40,,6203,1,1,1,1,0,1,1,0,
01,58,31,50000,40,,2311,1,1,1,1,0,1,1,1,0
01,19,34,58000,32,,5404,1,1,1,1,0,0,0,1,0
01,333,33,65000,40,,6107,1,1,1,2,0,1,1,1,0
01,107,34,125000,36,,6107,1,1,1,2,0,1,1,1,0
01,22,38,48000,50,,2314,1,1,1,1,0,1,1,0,
01,52,33,20000,40,,1903,1,1,3,1,0,0,1,0,
01,54,32,43000,50,,3600,1,1,1,1,0,1,1,1,0
01,13,31,34000,40,,2304,1,1,1,1,0,1,1,0,
01,89,38,14700,20,,4101,1,1,1,1,0,0,0,0,
01,85,31,73000,42,,2102,1,1,1,1,0,1,1,0,
01,67,37,50000,40,,6201,1,1,1,2,0,1,1,0,
01,65,37,37000,50,,6107,1,1,4,1,0,0,1,1,0
01,81,33,80000,60,1977,6200,1,5,1,1,0,1,1,0,
01,104,35,34000,42,,6203,1,1,3,1,0,0,1,1,0
01,51,37,267000,40,,2102,1,1,1,1,0,1,1,0,
01,93,31,24000,30,,2901,1,1,1,1,0,0,0,1,0
01,66,30,23000,40,,6004,1,1,4,1,0,0,1,1,0
01,86,35,38000,40,,6200,1,1,1,1,0,1,1,0,
01,86,32,54000,32,,1301,1,1,1,1,0,0,0,1,0
01,284,37,57000,40,,6201,1,1,1,1,0,1,1,1,0
01,52,40,41000,40,,2304,1,1,1,1,0,1,1,1,0
01,124,40,20000,20,,6203,1,1,1,1,0,0,0,1,0
01,16,37,60000,40,,6107,1,1,1,1,0,1,1,1,0
01,85,37,100000,55,,6207,1,1,1,1,0,1,1,0,
01,74,34,92000,40,,2401,1,1,1,1,0,1,1,0,
01,59,30,30000,41,,3611,1,1,1,2,0,1,1,1,0
01,106,33,50000,40,,2102,1,1,1,1,0,1,1,0,
01,106,32,44000,48,,1105,1,1,1,1,0,1,1,0,
01,19,33,41000,40,,2304,1,1,1,1,0,1,1,1,1
01,90,39,100000,40,1972,1901,1,4,1,1,0,1,1,0,
01,76,40,57000,40,,2414,1,1,1,1,0,1,1,0,
01,62,32,45000,40,,2314,1,1,1,1,0,1,1,0,
01,35,32,41000,40,,2313,1,1,1,1,0,1,1,1,0
01,175,33,40000,50,,6203,1,1,1,1,0,1,1,0,
01,183,31,30000,40,,6203,1,1,1,1,0,1,1,1,0
01,59,31,5000,5,,6001,1,1,3,2,0,0,0,1,0
01,98,36,20000,40,,2901,1,1,1,1,0,1,1,1,0
01,86,31,40500,40,,6201,1,1,1,1,0,1,1,0,
01,79,40,80000,45,,6107,1,1,1,1,0,1,1,1,0
01,24,37,93000,40,,2405,1,1,1,1,0,1,1,0,
01,20,35,91000,40,,2405,1,1,1,1,0,1,1,1,0
01,68,33,42000,40,,2308,1,1,3,2,0,0,1,1,0
01,89,36,43000,40,,2300,1,1,1,1,0,1,1,1,0
01,246,39,73000,40,,3600,1,1,1,2,0,1,1,0,
01,77,37,36000,40,,6201,1,1,2,2,0,0,1,1,0
01,28,35,41300,40,,5404,1,1,1,1,0,1,1,1,0
01,67,33,1600,4,,5200,1,1,5,1,0,0,0,1,1
01,203,34,24000,30,,2313,1,1,1,1,0,0,0,1,0
01,235,31,45000,36,,6107,1,1,1,1,0,1,1,1,0
01,185,38,57000,45,,6200,1,1,1,1,0,1,1,1,0
01,83,34,69000,50,,1401,1,1,1,1,0,1,1,0,
01,80,34,78000,40,,6203,1,1,1,1,0,1,1,0,
01,97,35,60000,45,,3301,1,1,1,1,0,1,1,1,0
01,164,33,59000,50,,6204,1,1,1,1,0,1,1,1,0
01,142,30,32000,50,,2304,1,1,1,1,0,1,1,1,0
01,148,32,70000,50,,1904,1,1,1,1,0,1,1,0,
01,76,33,63000,40,,6107,1,1,1,1,0,1,1,1,0
01,62,34,68000,45,,6402,1,1,1,1,0,1,1,0,
01,65,34,9000,25,,6006,1,1,4,1,0,0,0,1,0
01,67,37,58000,40,,6203,1,1,1,1,0,1,1,0,
01,60,39,45000,30,,3401,1,1,3,1,0,0,0,1,0
01,61,40,267000,80,,1902,1,1,1,1,0,1,1,0,
01,47,31,30000,50,,3301,1,1,1,1,0,1,1,1,0
01,59,30,62000,36,,6107,1,1,1,2,0,1,1,1,0
01,82,30,29000,43,,1901,1,1,1,1,0,1,1,1,0
01,51,33,72000,40,1986,2412,2,3,1,4,1,1,1,0,
01,18,32,35400,40,,5200,1,1,1,1,0,1,1,1,0
01,30,36,11500,30,,5404,1,1,1,1,0,0,0,0,
01,80,31,65000,40,,6212,1,1,1,1,0,1,1,0,
01,84,33,80000,48,,6107,1,1,1,2,0,1,1,1,0
01,190,33,72000,43,,6201,1,1,1,2,0,1,1,0,
01,80,32,56000,50,,6001,1,1,1,1,0,1,1,0,
01,31,33,50000,36,,6107,1,1,1,1,0,1,1,1,0
01,69,36,42200,40,,6201,1,1,1,1,0,1,1,1,0
01,111,33,30000,48,,5301,1,1,1,1,0,1,1,0,
01,85,33,34000,40,,6402,1,1,1,1,0,1,1,0,
01,76,32,17900,27,,5200,1,1,1,1,0,0,0,1,0
01,72,36,40000,40,,5301,1,1,1,2,0,1,1,0,
01,134,37,82000,40,,6201,1,1,1,1,0,1,1,0,
01,62,35,38000,40,,1904,1,1,1,1,0,1,1,1,0
01,84,30,84000,55,,6203,1,1,1,1,0,1,1,1,0
01,57,32,40000,40,,2101,1,1,1,1,0,1,1,1,0
01,53,33,38000,40,,6206,1,1,3,1,0,0,1,1,0
01,67,37,30000,40,,6203,1,1,1,1,0,1,1,0,
01,89,40,65000,40,,6203,1,1,1,1,0,1,1,0,
01,99,38,45000,40,,2304,1,1,3,1,0,0,1,1,0
