code_numeric,fhpolrigaug,lrgdpch,laborshare,lpop,socialist,medage,year
17,0.1666667,6.739776,NA,9.091557,0,15.5,1990
17,0.3333333,6.770059,NA,9.20914,0,15.5,1995
17,0.5,6.863626,NA,9.330255,0,15.5,2000
18,NA,6.963459,NA,10.85128,0,19.2,1960
18,NA,6.993114,NA,10.9768,0,18,1965
18,0.8333333,7.007203,0.3297141,11.10464,0,17.4,1970
18,0,6.870495,0.3218813,11.23308,0,17.4,1975
18,0.6666667,6.880692,0.2775897,11.35555,0,17.8,1980
18,0.3333333,7.060115,0.3298554,11.48336,0,18.1,1985
18,0.3333333,7.153151,NA,11.60846,0,18.6,1990
18,0.6666667,7.291024,NA,11.69633,0,19.2,1995
18,0.6666667,7.428857,NA,11.78333,0,20,2000
19,0.23,NA,NA,8.970432,1,30.4,1960
19,0.37,NA,NA,9.012012,1,32,1965
19,0,NA,NA,9.046644,1,33.2,1970
19,0,NA,NA,9.073489,1,34,1975
19,0,NA,NA,9.089528,1,34.2,1980
19,0,NA,NA,9.098403,1,35.7,1985
19,0.6666667,NA,NA,9.073145,1,36.3,1990
19,0.8333333,8.818811,NA,9.035987,1,38,1995
19,0.8333333,8.663001,NA,9.002701,1,39.1,2000
20,NA,NA,NA,5.003946,0,18.5,1960
20,NA,NA,NA,5.204007,0,14.7,1965
20,0.1666667,NA,NA,5.347107,0,16.9,1970
20,0.1666667,NA,NA,5.568345,0,17.7,1975
20,0.3333333,NA,NA,5.811141,0,22.3,1980
20,0.3333333,NA,NA,6.052089,0,25.9,1985
20,0.1666667,NA,NA,6.22059,0,25.9,1990
20,0.1666667,NA,NA,6.357842,0,26.1,1995
20,0,NA,NA,6.474388,0,26.9,2000
21,NA,NA,NA,4.727388,0,19.3,1960
21,NA,NA,NA,4.934474,0,18.6,1965
21,NA,NA,NA,5.141664,0,18.7,1970
21,1,NA,0.6057144,5.241747,0,19.3,1975
21,1,NA,0.3675544,5.347107,0,19.7,1980
21,0.8333333,NA,0.4503851,5.446737,0,21.4,1985
21,0.8333333,NA,NA,5.544396,0,23.2,1990
21,1,NA,NA,5.627621,0,24.6,1995
21,1,NA,NA,5.720312,0,26.1,2000
22,NA,NA,NA,8.083328,1,21.7,1960
22,NA,NA,NA,8.158516,1,21.5,1965
22,NA,NA,NA,8.216899,1,22.6,1970
22,NA,NA,NA,8.289037,1,24,1975
22,NA,NA,NA,8.316789,1,25.9,1980
22,NA,NA,NA,8.370085,1,28,1985
22,NA,NA,NA,8.40066,1,30,1990
22,0.1666667,NA,NA,8.137396,1,32.4,1995
22,0.3333333,NA,NA,8.288283,1,35.1,2000
23,NA,NA,NA,9.011645,1,28.2,1960
23,NA,NA,NA,9.060679,1,28.8,1965
23,NA,NA,NA,9.109414,1,30.1,1970
23,NA,NA,NA,9.144948,1,30.5,1975
23,NA,NA,NA,9.173987,1,31.3,1980
23,NA,NA,NA,9.207837,1,31.9,1985
23,NA,9.103862,NA,9.229064,1,33.2,1990
23,0.3333333,8.616843,NA,9.229554,1,34.8,1995
23,0.1666667,9.03808,NA,9.21084,1,36.5,2000
24,NA,NA,NA,4.511409,0,17.6,1960
24,NA,NA,NA,4.679721,0,16.5,1965
24,NA,NA,NA,4.787242,0,16.3,1970
24,NA,NA,NA,4.857251,0,16.2,1975
24,NA,8.448585,NA,4.983607,0,16.6,1980
24,1,8.390313,NA,5.113492,0,17,1985
24,1,8.638631,NA,5.243333,0,17.6,1990
24,1,8.735215,NA,5.313206,0,18.5,1995
24,1,8.79349,NA,5.480639,0,19.8,2000
25,0.6,7.763807,NA,8.117014,0,18.7,1960
25,0.36,7.898943,NA,8.228977,0,18.5,1965
25,0.3333333,7.823202,0.3512867,8.345693,0,18.4,1970
25,0.1666667,7.980182,0.2650216,8.467793,0,18.4,1975
25,0,8.023971,0.3052399,8.585786,0,18.6,1980
25,0.8333333,7.840896,0.1511034,8.68186,0,18.9,1985
25,0.8333333,7.802203,NA,8.790726,0,19.2,1990
25,0.8333333,7.868782,NA,8.911125,0,19.6,1995
25,1,7.909896,NA,9.027463,0,20.1,2000
26,0.91,7.771254,0.2570271,11.19467,0,18.6,1960
26,0.61,7.952501,0.1658272,11.34247,0,18.2,1965
26,0.3333333,8.194207,0.2249611,11.47198,0,18.6,1970
26,0.5,8.54979,0.2095222,11.59104,0,19.4,1975
26,0.5,8.760891,0.2063416,11.70862,0,20.3,1980
26,0.6666667,8.724344,0.2039144,11.81453,0,21.4,1985
26,0.8333333,8.735161,NA,11.90468,0,22.6,1990
26,0.8333333,8.819525,NA,11.97968,0,23.9,1995
26,0.6666667,8.880447,NA,12.04414,0,25.4,2000
27,NA,8.130892,NA,5.441118,0,22.3,1960
27,1,8.374012,NA,5.460436,0,20.6,1965
27,1,8.706109,0.4870301,5.4773,0,21.2,1970
27,1,9.018889,0.5263337,5.503704,0,23.7,1975
27,1,9.230895,0.6584628,5.517854,0,24.4,1980
27,1,9.247156,0.6869502,5.53339,0,26.3,1985
27,1,9.509151,0.7384419,5.552959,0,28.4,1990
27,1,9.524599,NA,5.576706,0,30.4,1995
27,1,9.705969,NA,5.587249,0,32.6,2000
28,NA,NA,NA,4.406719,0,19.4,1960
28,NA,NA,NA,4.634729,0,17.6,1965
28,0.1666667,NA,NA,4.867535,0,18.4,1970
28,0.1666667,NA,NA,5.081404,0,19.8,1975
28,0.1666667,NA,NA,5.26269,0,20.4,1980
28,0.1666667,NA,NA,5.407172,0,21.4,1985
28,0.1666667,NA,NA,5.549076,0,23.4,1990
28,0,NA,NA,5.693732,0,24.1,1995
28,0,NA,NA,5.823046,0,25,2000
29,NA,NA,NA,5.895779,0,20,1960
29,NA,NA,NA,5.951735,0,19.9,1965
29,0.5,NA,NA,6.012639,0,19.6,1970
29,0.5,NA,NA,6.083269,0,19.4,1975
29,0.3333333,NA,NA,6.19007,0,19.3,1980
29,0.3333333,NA,NA,6.28888,0,19.2,1985
29,0.1666667,NA,NA,6.397113,0,19,1990
