hsgpa,psu,entercollege,privatehs,hidad,himom,over475
65,426,0,0,0,0,0
67,456,1,0,0,0,0
63,367,0,0,0,0,0
62,379.5,0,0,0,0,0
61,359.5,0,0,0,0,0
61,371,0,0,0,0,0
62,404,0,0,0,0,0
56,517.5,1,0,0,0,1
66,464,1,0,0,0,0
61,318.5,0,0,0,0,0
0,364,0,0,0,0,0
0,310.5,0,0,0,0,0
55,398.5,0,0,0,0,0
63,381,0,0,0,0,0
64,426,0,0,0,0,0
50,424.5,0,0,0,0,0
58,477.5,0,0,0,0,1
58,433.5,0,0,0,0,0
0,410,0,0,0,0,0
66,487.5,1,0,0,0,1
63,336.5,0,0,0,0,0
56,315.5,0,0,0,0,0
65,448.5,0,0,0,0,0
52,410,0,0,0,0,0
46,332,0,0,0,0,0
64,387,0,0,0,0,0
59,499.5,0,0,0,0,1
53,338.5,0,0,0,0,0
0,346.5,0,0,0,0,0
55,346,0,0,0,0,0
50,357.5,0,0,0,0,0
54,445,0,0,0,0,0
0,386.5,0,0,0,0,0
64,323,0,0,0,0,0
67,369.5,1,0,0,0,0
60,416,0,0,0,0,0
59,467,1,0,0,0,0
60,459,0,0,0,0,0
67,413.5,0,0,1,0,0
67,545,0,0,0,0,1
55,377,0,0,0,0,0
53,368.5,0,0,0,0,0
52,430,0,0,0,0,0
67,429.5,0,0,0,0,0
61,466.5,0,0,0,0,0
60,375.5,1,0,0,0,0
48,363.5,0,0,0,0,0
0,391,0,0,0,0,0
0,320.5,0,0,0,0,0
54,446,1,0,0,0,0
58,381,0,0,0,0,0
64,419.5,0,0,0,0,0
66,576.5,1,0,0,0,1
63,400.5,0,0,0,0,0
56,423,0,0,0,0,0
0,385,0,0,0,0,0
66,381.5,0,0,0,0,0
55,324,0,0,0,0,0
60,333.5,0,0,0,0,0
67,393,0,0,0,0,0
47,426.5,1,0,0,0,0
60,408.5,0,0,0,0,0
64,524.5,1,0,0,0,1
49,312.5,0,0,0,0,0
55,550.5,0,0,0,0,1
58,501,1,0,0,0,1
61,391.5,0,0,0,0,0
0,437.5,0,0,0,0,0
55,424,0,0,0,0,0
60,365.5,0,0,0,0,0
0,429.5,0,0,0,0,0
66,535.5,1,0,0,0,1
0,344.5,0,0,0,0,0
54,539.5,1,0,0,0,1
64,465,0,0,0,0,0
58,372,0,0,0,0,0
57,447,0,0,0,0,0
61,351.5,0,0,0,0,0
62,302,0,0,0,0,0
53,450.5,1,0,1,0,0
0,406,0,0,0,0,0
55,336,0,0,0,0,0
60,419.5,0,0,0,0,0
58,526.5,1,0,0,0,1
57,480.5,0,0,0,0,1
62,448,0,0,0,0,0
59,473,0,0,0,0,0
55,443,0,0,0,0,0
57,379.5,0,0,0,0,0
53,416.5,0,0,0,0,0
50,303,0,0,0,0,0
40,376,0,0,1,0,0
0,365.5,0,0,0,0,0
62,407,0,0,0,0,0
0,475.5,0,0,0,0,1
65,426.5,0,0,0,0,0
53,498,0,0,0,0,1
56,483,0,0,0,0,1
50,328,0,0,0,0,0
60,354.5,0,0,0,0,0
57,313,0,0,0,0,0
57,344.5,1,0,0,0,0
49,339.5,0,0,0,0,0
68,472,0,0,0,0,0
0,393,0,0,0,0,0
56,346,0,0,0,0,0
56,382,0,0,0,0,0
57,425.5,1,0,0,0,0
52,482,1,0,0,0,1
47,322,0,0,0,0,0
48,370.5,0,0,0,0,0
64,431,0,0,0,0,0
56,431.5,0,0,0,0,0
54,323.5,0,0,0,0,0
57,365.5,0,0,0,0,0
56,351.5,0,0,0,0,0
53,467.5,0,0,0,0,0
54,362,0,0,0,0,0
64,345,0,0,0,0,0
60,388.5,0,0,0,0,0
60,478.5,0,0,0,0,1
62,414,0,0,0,0,0
54,451.5,0,0,0,0,0
0,465,0,0,0,0,0
0,445,0,0,0,0,0
59,423,0,0,1,0,0
59,423,0,0,0,0,0
61,396.5,0,0,0,0,0
63,540.5,0,0,0,0,1
57,409.5,0,0,0,0,0
56,529.5,1,0,0,0,1
0,389,0,0,0,0,0
68,427,0,0,0,0,0
48,414,0,0,0,0,0
0,314.5,0,0,0,0,0
54,512.5,1,0,0,0,1
49,536.5,0,0,0,0,1
55,300,0,0,0,0,0
50,439.5,0,0,0,0,0
62,333,0,0,0,0,0
55,477,0,0,0,0,1
68,486,1,0,0,0,1
59,325.5,0,0,0,0,0
43,427,1,0,0,0,0
57,403,0,0,0,0,0
54,393.5,1,0,0,0,0
64,442.5,0,0,0,0,0
65,347.5,0,0,0,0,0
57,489.5,0,0,0,0,1
0,445.5,0,0,0,0,0
0,400.5,0,0,0,0,0
40,341,0,0,0,0,0
55,490,0,0,0,0,1
56,381,0,0,0,0,0
58,401.5,0,0,0,0,0
63,453,0,0,0,0,0
65,365.5,0,0,0,0,0
66,325,0,0,0,0,0
63,420.5,0,0,0,0,0
58,398.5,0,0,0,0,0
53,472,0,0,0,0,0
49,311,0,0,0,0,0
0,399,0,0,0,0,0
54,483,1,0,0,0,1
61,457.5,0,0,0,0,0
0,423.5,0,0,0,0,0
66,564.5,0,0,0,1,1
0,507,1,0,0,0,1
53,361,0,0,0,0,0
54,409.5,0,0,0,0,0
54,448,0,0,0,0,0
49,359.5,0,0,0,1,0
58,394.5,0,0,0,0,0
0,449.5,0,0,0,0,0
57,443.5,0,0,0,0,0
56,504,0,0,1,0,1
65,461.5,0,0,0,0,0
50,408.5,0,0,0,0,0
49,346,0,0,0,0,0
55,385,0,0,0,0,0
57,336,0,0,0,0,0
59,357,0,0,0,0,0
67,319,0,0,0,1,0
53,413.5,0,0,0,0,0
59,351.5,0,0,0,0,0
63,497.5,1,0,0,0,1
53,310.5,0,0,0,0,0
60,433.5,0,0,0,0,0
58,432,0,0,0,0,0
59,417.5,0,0,0,0,0
57,423.5,0,0,0,1,0
54,349,0,0,0,0,0
62,371.5,0,0,0,0,0
62,463.5,0,0,0,0,0
61,405,0,0,1,0,0
64,549.5,0,0,0,0,1
0,341,0,0,0,0,0
48,433.5,0,0,0,0,0
57,501,0,0,0,0,1
62,496,0,0,0,0,1
0,401,0,0,0,0,0
62,463.5,0,0,0,0,0
58,417,0,0,0,0,0
0,367,0,0,0,0,0
47,311,0,0,0,0,0
56,398,0,0,0,0,0
62,440,0,0,0,0,0
0,387.5,0,0,0,0,0
55,383,0,0,0,0,0
54,450,0,0,0,0,0
53,364,1,0,0,0,0
56,501.5,0,0,0,0,1
59,504,1,0,0,0,1
63,499.5,0,0,0,0,1
51,409.5,0,0,0,0,0
49,332,1,0,0,0,0
0,348,0,0,0,0,0
56,381,0,0,0,0,0
60,313.5,0,0,0,0,0
66,490,1,0,0,0,1
59,546,1,0,0,0,1
58,582.5,1,0,0,0,1
57,422,0,0,0,0,0
0,442.5,0,0,0,0,0
63,442,0,0,0,0,0
64,330.5,0,0,0,0,0
53,386.5,0,0,0,0,0
0,500.5,0,0,1,1,1
55,366.5,0,0,0,0,0
52,539,1,0,0,0,1
0,431.5,0,0,0,0,0
62,362.5,0,0,0,0,0
62,418.5,0,0,0,0,0
55,423,0,0,0,0,0
54,376.5,0,0,0,0,0
60,425,0,0,0,0,0
63,452.5,0,0,1,0,0
61,435,0,0,0,0,0
58,423.5,0,0,0,0,0
58,368.5,0,0,0,0,0
61,369,0,0,0,0,0
56,473,0,0,0,0,0
0,456,0,0,0,0,0
0,304.5,0,0,0,0,0
54,486.5,1,0,0,0,1
69,507,0,0,0,0,1
59,310,0,0,0,0,0
62,355.5,0,0,0,0,0
63,444.5,0,0,0,0,0
56,366.5,0,0,0,0,0
54,343,0,0,0,0,0
47,464,0,0,0,0,0
59,404,0,0,0,0,0
58,331.5,0,0,0,0,0
56,522,1,0,0,0,1
55,384.5,0,0,0,0,0
57,405.5,0,0,0,0,0
66,592,1,0,0,0,1
46,304,0,0,0,0,0
64,422,0,0,1,1,0
61,534.5,1,0,0,0,1
59,545.5,1,0,0,0,1
54,313,0,0,0,0,0
51,416,0,0,0,0,0
61,434.5,0,0,0,0,0
49,393,0,0,0,0,0
61,379.5,0,0,0,0,0
60,493.5,0,0,0,0,1
0,369.5,0,0,0,0,0
0,458,0,0,0,1,0
0,464.5,0,0,0,0,0
57,345,0,0,0,0,0
61,443,0,0,0,0,0
61,477,1,0,0,0,1
61,342,0,0,0,0,0
53,361.5,0,0,0,0,0
55,425,0,0,0,0,0
53,447.5,0,0,0,0,0
53,534,1,0,0,0,1
51,470,1,0,1,0,0
67,367.5,0,0,0,0,0
54,316.5,0,0,0,0,0
62,435,0,0,0,0,0
47,351,0,0,0,0,0
62,487.5,1,0,0,0,1
54,413.5,0,0,0,0,0
0,400.5,0,0,0,0,0
56,371.5,0,0,0,0,0
51,332,0,0,0,0,0
53,417.5,0,0,0,0,0
65,439,0,0,0,0,0
54,465.5,0,0,0,0,0
67,437,0,0,0,0,0
67,449.5,0,0,0,0,0
56,516.5,0,0,0,0,1
57,416,0,0,0,0,0
52,450.5,0,0,0,0,0
54,340,0,0,0,0,0
56,433.5,0,0,0,0,0
0,399,0,0,0,0,0
48,474.5,0,0,0,0,0
0,492,1,0,0,0,1
60,520.5,0,0,0,0,1
65,385.5,0,0,0,0,0
0,400.5,0,0,0,0,0
60,365.5,0,0,0,0,0
0,389,0,0,0,0,0
0,341.5,0,0,0,0,0
64,318,0,0,0,0,0
59,471.5,0,0,0,0,0
60,460.5,0,0,0,0,0
52,349,0,0,0,0,0
50,387,0,0,0,0,0
49,423,0,0,0,0,0
0,414,0,0,0,0,0
63,417.5,0,0,0,0,0
53,405.5,0,0,0,0,0
61,338,0,0,0,0,0
52,484.5,1,0,0,0,1
50,362,0,0,0,0,0
54,332,1,0,0,0,0
62,552,1,0,0,0,1
0,492,1,0,0,0,1
64,448,0,0,0,0,0
50,381,0,0,0,0,0
0,330.5,0,0,0,0,0
44,315.5,0,0,0,0,0
0,455.5,0,0,0,0,0
55,439.5,0,0,0,0,0
54,402,0,0,0,0,0
51,314,0,0,0,0,0
48,488,0,0,0,0,1
66,501.5,0,0,0,0,1
54,419.5,0,0,0,0,0
55,428,1,0,0,0,0
59,335,0,0,0,0,0
51,301,0,0,0,0,0
59,450,0,0,0,0,0
65,435,0,0,0,0,0
64,406.5,0,0,0,0,0
47,400.5,1,0,0,0,0
56,477.5,1,0,0,0,1
62,501.5,1,0,0,0,1
62,400,0,0,0,0,0
60,401,0,0,0,0,0
59,393,0,0,0,0,0
54,343,0,0,0,0,0
58,404,0,0,0,0,0
54,360.5,0,0,0,1,0
50,315.5,0,0,0,0,0
57,375.5,0,0,0,0,0
0,408,0,0,0,0,0
64,386,0,0,0,0,0
55,393,0,0,0,0,0
69,508.5,1,0,0,0,1
54,319,0,0,1,0,0
56,375,0,0,0,0,0
54,489.5,0,0,0,0,1
51,359.5,0,0,0,0,0
50,374,0,0,0,0,0
0,330,0,0,0,0,0
51,372,0,0,0,0,0
61,485,1,0,0,0,1
63,340.5,0,0,0,0,0
57,337.5,0,0,0,0,0
52,570.5,0,0,1,0,1
54,543,0,0,0,0,1
51,328,0,0,0,0,0
52,447,0,0,0,0,0
59,376,1,0,0,0,0
59,647,0,1,1,1,1
56,336.5,0,0,0,0,0
61,571,0,0,1,1,1
66,611,1,0,0,0,1
58,441.5,0,0,0,0,0
53,518.5,0,0,0,0,1
59,547,1,0,1,1,1
58,330,0,0,0,0,0
56,638,1,0,1,1,1
58,371.5,0,0,0,0,0
44,311,0,0,0,0,0
68,588,0,0,0,0,1
60,561,1,0,0,0,1
64,382,0,0,0,0,0
58,313,1,0,0,0,0
66,580,1,0,0,0,1
61,472,0,0,0,0,0
0,448.5,0,0,0,0,0
54,353,0,0,0,0,0
52,375.5,0,0,0,0,0
62,640,1,0,0,1,1
56,415,0,0,1,0,0
63,508,1,0,1,1,1
54,325,0,0,0,0,0
0,428.5,0,0,0,0,0
0,313,0,0,0,0,0
54,471.5,0,0,0,0,0
55,400.5,0,0,0,0,0
61,514.5,0,0,0,0,1
56,558.5,1,0,1,1,1
51,388.5,1,0,0,0,0
52,376,0,0,0,0,0
0,425,0,0,0,0,0
62,592.5,1,0,0,0,1
